S. No.,Thickness_mm,Bar_Diameter_mm,Bar_Spacing_mm,fck_cube_MPa,fy_MPa,Peak_Force_N,Peak_Displacement_mm,Total_Area_mm2
145,80,4,35,60,425,1092134.625,7.768,5223292.93
146,90,4,60,55,500,1283677,6.019,5267139.786
147,60,3,65,35,480,343729.156,5.884,1357474.432
148,80,2,45,60,550,987224.188,9.998,7165652.386
149,70,3,25,30,495,524303.188,7.869,3063023.954
150,50,6,55,60,350,359978.094,8.6,2149806.487
151,80,5,55,50,385,991522.25,7.293,5179498.992
152,100,2,30,50,300,1500281.5,5.648,5811271.591
153,80,4,70,30,385,662426.438,5.56,2566717.367
154,80,5,45,40,370,855875.188,5.914,3488026.094
155,70,4,25,50,480,793268.25,6.586,3461747.054
156,90,4,25,55,465,1384563.25,5.943,5627129.78
157,90,6,65,55,545,1382050.875,6.568,6267323.008
158,60,4,50,60,390,543120.312,7.612,2846414.195
159,50,4,70,60,375,330617.875,8.61,2018336.417
160,80,4,30,45,350,934765.875,6.004,3839793.923
161,70,5,25,25,320,548397.812,6.764,2695238.247
162,60,4,60,35,540,368599.781,8.058,2207843.87
163,90,3,30,25,350,769128.5,4.19,2136039.511
164,100,4,40,25,280,931001.562,3.83,2381590.235
165,60,5,60,40,305,430160.25,7.725,2388407.884
166,80,2,60,55,400,986663.688,7.236,5030980.676
167,50,5,55,25,280,220174.391,6.877,1032415.93
168,50,2,75,40,300,240923.203,7.589,1297225.067
169,60,5,50,60,395,559767.688,7.362,2781053.937
170,80,4,35,25,415,652710.938,5.951,2791542.287
171,60,6,65,30,305,372993.531,6.636,1715203.634
172,70,3,65,35,345,482540.094,6.384,2239275.798
173,70,5,45,40,490,656328.562,6.965,3207115.2
174,60,4,75,30,385,343190.031,7.21,1799717.878
175,70,2,75,25,250,411947.375,5.945,1759114.185
176,50,3,60,25,310,195328.984,7.254,1014546.765
177,90,3,45,35,550,858659.375,5.281,3219659.889
178,80,5,25,45,350,1006094.438,5.631,3746271.42
179,80,3,40,25,270,594374.25,5.553,2353915.091
180,60,3,65,55,255,493978.594,7.557,2575574.05
181,60,4,60,35,440,363161.781,7.152,1869686.775
182,60,3,30,55,450,532288.938,7.4,2675044.25
183,70,5,75,50,550,718519.25,7.714,3950624.605
184,80,5,35,50,410,1032496.25,6.509,4647648.835
185,60,5,60,40,275,427354.156,7.224,2169339.546
186,70,4,55,60,360,776341,6.674,3471023.534
187,50,2,35,55,305,307071.188,7.868,1667295.697
188,60,6,70,30,530,376484.375,7.777,2123696.554
189,100,5,35,60,330,1736220.25,5.262,6123662.595
